model,fold,train_start,train_end,val_start,val_end,wape,train_rows,validation_rows
xgboost,4,2024-01-01,2025-04-14,2025-04-21,2025-08-11,11.2965,3200.0,3400
xgboost,5,2024-01-01,2025-08-11,2025-08-18,2025-12-08,5.3153,6600.0,3400
lightgbm,4,2024-01-01,2025-04-14,2025-04-21,2025-08-11,10.501,3200.0,3400
lightgbm,5,2024-01-01,2025-08-11,2025-08-18,2025-12-08,5.3357,6600.0,3400
52-week Seasonal Naive,3,2024-01-01,2024-12-16,2024-12-23,2025-04-14,12.4154,,3200
52-week Seasonal Naive,4,2024-01-01,2025-04-14,2025-04-21,2025-08-11,12.4932,,3400
52-week Seasonal Naive,5,2024-01-01,2025-08-11,2025-08-18,2025-12-08,11.5294,,3400
